snapshot_week,cycle_name,cycle_type,supplier_name,product_name,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,mes_alvo,kr1,kr1_pct,mes_alvo_str
2025-11-10,C032026,Base,MC & MC,Camisa FutureForm Feminino,1000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,MC & MC,Camisa FutureForm Masculino,1200,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,PIXIE,Maxi Saia NYIN Feminino,4431,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,RDM,Calcinha Minimal Feminino,4670,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,RDM,The Perfect Top Feminino,5000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,RIZLLEP,Daily T-shirt Masculino,20000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,RIZLLEP,Tech T-shirt Gola U Feminino,2500,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C112025,Base,ART LIVRE,Daily T-shirt Masculino,10000,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,ARTIGO X,Boné Outdoors,1722,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,ARTIGO X,Boné Sixx,2070,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,AZZURRA,Future Shorts 200 Masculino,5160,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,AZZURRA,Hybrid Jogger Masculino,2322,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,AZZURRA,Shorts Esportivo Endorphine Masculino,600,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,BAE BRASIL,Cueca Boxer Comfort Anti Suor Masculino,10599,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,BAE BRASIL,Cueca Boxer Comfort Simples Masculino,19760,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,BAE BRASIL,Cueca Boxer Performance Anti Suor Masculino,8800,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,BAE BRASIL,Cueca Boxer Performance Simples Masculino,15201,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,BAE BRASIL,Cueca Slip Comfort Simples Masculino,5799,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,C112025,Base,BAE BRASIL,High Neck Tank Feminino,8814,0,0,0,0,2507,0,2507,2025-11,1.0,100.0,2025-11
